相生,あいおい,[a i o i],4
相生,あいおい,[a i o i],4
相老,あいおい,[a i o i],4
相生山,あいおいやま,[a i o i ya ma],6
相賀,あいが,[a i ga],3
秋鹿町,あいかまち,[a i ka ma chi],5
相川,あいかわ,[a i ka wa],4
合川,あいかわ,[a i ka wa],4
愛環梅坪,あいかんうめつぼ,[a i ka n u me tsu bo],8
愛甲石田,あいこういしだ,[a i ko u i shi da],7
愛山,あいざん,[a i za n],4
愛大医学部南口,あいだいいがくぶみなみぐち,[a i da i i ga ku bu mi na mi gu chi],13
愛地球博記念公園,あいちきゅうはくきねんこうえん,[a i chi kyu u ha ku ki ne n ko u e n],14
愛知大学前,あいちだいがくまえ,[a i chi da i ga ku ma e],9
愛知御津,あいちみと,[a i chi mi to],5
会津荒海,あいづあらかい,[a i zu a ra ka i],7
会津大塩,あいづおおしお,[a i zu o o shi o],7
会津蒲生,あいづがもう,[a i zu ga mo u],6
会津川口,あいづかわぐち,[a i zu ka wa gu chi],7
相月,あいづき,[a i zu ki],4
会津高原尾瀬口,あいづこうげんおぜぐち,[a i zu ko u ge n o ze gu chi],11
会津越川,あいづこすがわ,[a i zu ko su ga wa],7
会津坂本,あいづさかもと,[a i zu sa ka mo to],7
会津山村道場,あいづさんそんどうじょう,[a i zu sa n so n do u jo u],11
会津塩沢,あいづしおざわ,[a i zu shi o za wa],7
会津下郷,あいづしもごう,[a i zu shi mo go u],7
会津高田,あいづたかだ,[a i zu ta ka da],6
会津田島,あいづたじま,[a i zu ta ji ma],6
会津豊川,あいづとよかわ,[a i zu to yo ka wa],7
会津中川,あいづなかがわ,[a i zu na ka ga wa],7
会津長野,あいづながの,[a i zu na ga no],6
会津西方,あいづにしかた,[a i zu ni shi ka ta],7
会津坂下,あいづばんげ,[a i zu ba n ge],6
会津桧原,あいづひのはら,[a i zu hi no ha ra],7
会津本郷,あいづほんごう,[a i zu ho n go u],7
逢妻,あいづま,[a i zu ma],4
会津水沼,あいづみずぬま,[a i zu mi zu nu ma],7
会津宮下,あいづみやした,[a i zu mi ya shi ta],7
会津柳津,あいづやないづ,[a i zu ya na i zu],7
会津横田,あいづよこた,[a i zu yo ko ta],6
会津若松,あいづわかまつ,[a i zu wa ka ma tsu],7
藍那,あいな,[a i na],3
相野,あいの,[a i no],3
愛野,あいの,[a i no],3
愛野,あいの,[a i no],3
相浦,あいのうら,[a i no u ra],5
相ノ木,あいのき,[a i no ki],4
あいの里教育大,あいのさときょういくだい,[a i no sa to kyo u i ku da i],11
あいの里公園,あいのさとこうえん,[a i no sa to ko u e n],9
相内,あいのない,[a i no na i],5
相野々,あいのの,[a i no no],4
相原,あいはら,[a i ha ra],4
愛別,あいべつ,[a i be tsu],4
相見,あいみ,[a i mi],3
愛本,あいもと,[a i mo to],4
藍本,あいもと,[a i mo to],4
姶良,あいら,[a i ra],3
アイランドセンター,あいらんどせんたー,[a i ra n do se n ta -],9
粟生,あお,[a o],2
青井,あおい,[a o i],3
青井岳,あおいだけ,[a o i da ke],5
粟生津,あおうづ,[a o u zu],4
青倉,あおくら,[a o ku ra],4
青笹,あおざさ,[a o za sa],4
青島,あおしま,[a o shi ma],4
青塚,あおつか,[a o tsu ka],4
青砥,あおと,[a o to],3
青沼,あおぬま,[a o nu ma],4
青野ケ原,あおのがはら,[a o no ga ha ra],6
青郷,あおのごう,[a o no go u],5
青野山,あおのやま,[a o no ya ma],5
青葉,あおば,[a o ba],3
青葉台,あおばだい,[a o ba da i],5
あおば通,あおばどおり,[a o ba do o ri],6
青葉通一番町,あおばどおりいちばんちょう,[a o ba do o ri i chi ba n cho u],12
青葉山,あおばやま,[a o ba ya ma],5
青原,あおはら,[a o ha ra],4
青部,あおべ,[a o be],3
青堀,あおほり,[a o ho ri],4
青海,あおみ,[a o mi],3
青物横丁,あおものよこちょう,[a o mo no yo ko cho u],8
青森,あおもり,[a o mo ri],4
青谷,あおや,[a o ya],3
青柳,あおやぎ,[a o ya gi],4
青山,あおやま,[a o ya ma],4
青山,あおやま,[a o ya ma],4
青山,あおやま,[a o ya ma],4
青山一丁目,あおやまいっちょうめ,[a o ya ma i t cho u me],9
青山町,あおやまちょう,[a o ya ma cho u],6
赤,あか,[a ka],2
赤井,あかい,[a ka i],3
赤井川,あかいがわ,[a ka i ga wa],5
赤池,あかいけ,[a ka i ke],4
赤池,あかいけ,[a ka i ke],4
赤池,あかいけ,[a ka i ke],4
赤岩,あかいわ,[a ka i wa],4
赤岩港,あかいわみなと,[a ka i wa mi na to],7
あかおか,あかおか,[a ka o ka],4
赤川,あかがわ,[a ka ga wa],4
赤木,あかぎ,[a ka gi],3
赤城,あかぎ,[a ka gi],3
赤倉温泉,あかくらおんせん,[a ka ku ra o n se n],8
赤坂,あかさか,[a ka sa ka],4
赤坂,あかさか,[a ka sa ka],4
赤坂,あかさか,[a ka sa ka],4
赤坂,あかさか,[a ka sa ka],4
赤坂上,あかさかうえ,[a ka sa ka u e],6
赤坂田,あかさかた,[a ka sa ka ta],5
赤坂見附,あかさかみつけ,[a ka sa ka mi tsu ke],7
赤碕,あかさき,[a ka sa ki],4
赤崎,あかさき,[a ka sa ki],4
明石,あかし,[a ka shi],3
明科,あかしな,[a ka shi na],4
赤瀬,あかせ,[a ka se],3
県,あがた,[a ga ta],3
あかぢ,あかぢ,[a ka ji],3
赤塚,あかつか,[a ka tsu ka],4
暁学園前,あかつきがくえんまえ,[a ka tsu ki ga ku e n ma e],10
赤土小学校前,あかどしょうがっこうまえ,[a ka do sho u ga t ko u ma e],11
赤野,あかの,[a ka no],3
吾野,あがの,[a ga no],3
赤羽,あかばね,[a ka ba ne],4
赤羽岩淵,あかばねいわぶち,[a ka ba ne i wa bu chi],8
赤羽橋,あかばねばし,[a ka ba ne ba shi],6
赤平,あかびら,[a ka bi ra],4
赤渕,あかぶち,[a ka bu chi],4
英賀保,あがほ,[a ga ho],3
赤星,あかぼし,[a ka bo shi],4
赤堀,あかほり,[a ka ho ri],4
赤間,あかま,[a ka ma],3
赤水,あかみず,[a ka mi zu],4
赤嶺,あかみね,[a ka mi ne],4
赤目口,あかめぐち,[a ka me gu chi],5
赤湯,あかゆ,[a ka yu],3
上道,あがりみち,[a ga ri mi chi],5
阿川,あがわ,[a ga wa],3
安芸,あき,[a ki],2
阿木,あぎ,[a gi],2
安芸阿賀,あきあが,[a ki a ga],4
あき亀山,あきかめやま,[a ki ka me ya ma],6
秋川,あきがわ,[a ki ga wa],4
安芸川尻,あきかわじり,[a ki ka wa ji ri],6
安芸幸崎,あきさいざき,[a ki sa i za ki],6
昭島,あきしま,[a ki shi ma],4
秋田,あきた,[a ki ta],3
秋田貨物,あきたかもつ,[a ki ta ka mo tsu],6
秋田北港,あきたきたこう,[a ki ta ki ta ko u],7
秋田港,あきたこう,[a ki ta ko u],5
あきた白神,あきたしらかみ,[a ki ta shi ra ka mi],7
秋津,あきつ,[a ki tsu],3
安芸津,あきつ,[a ki tsu],3
安芸長束,あきながつか,[a ki na ga tsu ka],6
安芸中野,あきなかの,[a ki na ka no],5
安芸長浜,あきながはま,[a ki na ga ha ma],6
秋葉原,あきはばら,[a ki ha ba ra],5
安芸矢口,あきやぐち,[a ki ya gu chi],5
秋山,あきやま,[a ki ya ma],4
鮎喰,あくい,[a ku i],3
阿久比,あぐい,[a gu i],3
阿久根,あくね,[a ku ne],3
阿倉川,あくらがわ,[a ku ra ga wa],5
上ゲ,あげ,[a ge],2
上尾,あげお,[a ge o],3
阿下喜,あげき,[a ge ki],3
明智,あけち,[a ke chi],3
明智,あけち,[a ke chi],3
明智平,あけちだいら,[a ke chi da i ra],6
明戸,あけと,[a ke to],3
明野,あけの,[a ke no],3
曙橋,あけぼのばし,[a ke bo no ba shi],6
上松,あげまつ,[a ge ma tsu],4
安子ケ島,あこがしま,[a ko ga shi ma],5
阿漕,あこぎ,[a ko gi],3
厚狭,あさ,[a sa],2
朝霞,あさか,[a sa ka],3
浅香,あさか,[a sa ka],3
朝霞台,あさかだい,[a sa ka da i],5
安積永盛,あさかながもり,[a sa ka na ga mo ri],7
阿佐ケ谷,あさがや,[a sa ga ya],4
浅香山,あさかやま,[a sa ka ya ma],5
浅川,あさかわ,[a sa ka wa],4
あさぎり,あさぎり,[a sa gi ri],4
朝霧,あさぎり,[a sa gi ri],4
浅草,あさくさ,[a sa ku sa],4
浅草,あさくさ,[a sa ku sa],4
浅草橋,あさくさばし,[a sa ku sa ba shi],6
朝倉,あさくら,[a sa ku ra],4
朝倉,あさくら,[a sa ku ra],4
朝倉,あさくら,[a sa ku ra],4
朝倉街道,あさくらがいどう,[a sa ku ra ga i do u],8
朝地,あさじ,[a sa ji],3
朝潮橋,あさしおばし,[a sa shi o ba shi],6
安里,あさと,[a sa to],3
朝菜町,あさなまち,[a sa na ma chi],5
浅海,あさなみ,[a sa na mi],4
浅野,あさの,[a sa no],3
旭,あさひ,[a sa hi],3
旭,あさひ,[a sa hi],3
朝日,あさひ,[a sa hi],3
朝陽,あさひ,[a sa hi],3
旭,あさひ,[a sa hi],3
朝日大塚,あさひおおつか,[a sa hi o o tsu ka],7
旭ヶ丘,あさひがおか,[a sa hi ga o ka],6
旭ケ丘,あさひがおか,[a sa hi ga o ka],6
朝日ヶ丘,あさひがおか,[a sa hi ga o ka],6
旭川,あさひかわ,[a sa hi ka wa],5
旭川四条,あさひかわよじょう,[a sa hi ka wa yo jo u],8
朝日野,あさひの,[a sa hi no],4
旭橋,あさひばし,[a sa hi ba shi],5
旭前,あさひまえ,[a sa hi ma e],5
麻生,あさぶ,[a sa bu],3
麻布十番,あざぶじゅうばん,[a za bu ju u ba n],7
朝熊,あさま,[a sa ma],3
阿左美,あざみ,[a za mi],3
あざみ野,あざみの,[a za mi no],4
浅海井,あざむい,[a za mu i],4
浅虫温泉,あさむしおんせん,[a sa mu shi o n se n],8
朝里,あさり,[a sa ri],3
浅利,あさり,[a sa ri],3
足尾,あしお,[a shi o],3
味岡,あじおか,[a ji o ka],4
阿字ヶ浦,あじがうら,[a ji ga u ra],5
足利,あしかが,[a shi ka ga],4
足利市,あしかがし,[a shi ka ga shi],5
あしかがフラワーパーク,あしかがふらわーぱーく,[a shi ka ga fu ra wa - pa - ku],11
芦ヶ久保,あしがくぼ,[a shi ga ku bo],5
鰺ケ沢,あじがさわ,[a ji ga sa wa],5
海鹿島,あしかじま,[a shi ka ji ma],5
足ケ瀬,あしがせ,[a shi ga se],4
足柄,あしがら,[a shi ga ra],4
足柄,あしがら,[a shi ga ra],4
芦川,あしがわ,[a shi ga wa],4
安治川口,あじかわぐち,[a ji ka wa gu chi],6
安食,あじき,[a ji ki],3
味坂,あじさか,[a ji sa ka],4
芦沢,あしさわ,[a shi sa wa],4
阿知須,あじす,[a ji su],3
足滝,あしだき,[a shi da ki],4
足立,あしだち,[a shi da chi],4
阿品,あじな,[a ji na],3
阿品東,あじなひがし,[a ji na hi ga shi],6
芦野公園,あしのこうえん,[a shi no ko u e n],7
芦ノ牧温泉,あしのまきおんせん,[a shi no ma ki o n se n],9
芦ノ牧温泉南,あしのまきおんせんみなみ,[a shi no ma ki o n se n mi na mi],12
芦原,あしはら,[a shi ha ra],4
芦原町,あしはらちょう,[a shi ha ra cho u],6
芦原橋,あしはらばし,[a shi ha ra ba shi],6
芦別,あしべつ,[a shi be tsu],4
味鋺,あじま,[a ji ma],3
足守,あしもり,[a shi mo ri],4
芦屋,あしや,[a shi ya],3
芦屋,あしや,[a shi ya],3
芦屋川,あしやがわ,[a shi ya ga wa],5
味美,あじよし,[a ji yo shi],4
味美,あじよし,[a ji yo shi],4
網代,あじろ,[a ji ro],3
飛鳥,あすか,[a su ka],3
飛鳥山公園入口,あすかやまこうえんいりぐち,[a su ka ya ma ko u e n i ri gu chi],13
飛鳥山山頂,あすかやまこうえんさんちょう,[a su ka ya ma ko u e n sa n cho u],13
梓橋,あずさばし,[a zu sa ba shi],5
あすなろう四日市,あすなろうよっかいち,[a su na ro u yo t ka i chi],10
東谷,あずまだに,[a zu ma da ni],5
安曇追分,あずみおいわけ,[a zu mi o i wa ke],7
安曇沓掛,あずみくつかけ,[a zu mi ku tsu ka ke],7
足羽,あすわ,[a su wa],3
足羽山公園口,あすわやまこうえんぐち,[a su wa ya ma ko u e n gu chi],11
安栖里,あせり,[a se ri],3
阿曽,あそ,[a so],2
阿蘇,あそ,[a so],2
吾桑,あそう,[a so u],3
浅水,あそうず,[a so u zu],4
薊野,あぞうの,[a zo u no],4
